ItemID,DataID,N_RivID,N_SiteID,samID,Continent,Country,RefID,RiverName,Primer,Year,Month,Lon,Lat,SR
I008,D003,NR004,S002,I008_S002,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.678992,41.485641,0
I008,D003,NR004,S003,I008_S003,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.52206712,41.11745937,2
I008,D003,NR004,S004,I008_S004,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.677299,41.444157,0
I008,D003,NR004,S005,I008_S005,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.16733333,41.33803333,2
I008,D003,NR004,S006,I008_S006,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.675583,41.481574,2
I008,D003,NR004,S007,I008_S007,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.23310386,41.27373467,3
I008,D003,NR004,S008,I008_S008,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15885,41.39693333,1
I008,D003,NR004,S009,I008_S009,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.703449,41.488853,0
I008,D003,NR004,S010,I008_S010,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.56314046,41.14409513,2
I008,D003,NR004,S011,I008_S011,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.22707878,41.27651059,2
I008,D003,NR004,S012,I008_S012,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15595,41.4125,3
I008,D003,NR004,S013,I008_S013,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.58388,41.181709,0
I008,D003,NR004,S014,I008_S014,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15888333,41.41858333,1
I008,D003,NR004,S015,I008_S015,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.664195,41.434384,2
I008,D003,NR004,S016,I008_S016,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.20072516,41.30293823,2
I008,D003,NR004,S017,I008_S017,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15737203,41.38289094,3
I008,D003,NR004,S018,I008_S018,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.21658481,41.28487037,5
I008,D003,NR004,S019,I008_S019,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.666138,41.42701,0
I008,D003,NR004,S020,I008_S020,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.5381261,41.12984237,4
I008,D003,NR004,S021,I008_S021,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.16263611,41.3629835,3
I008,D003,NR004,S022,I008_S022,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15076667,41.37728333,0
I008,D003,NR004,S023,I008_S023,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15741667,41.38608333,0
I008,D003,NR004,S024,I008_S024,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.22239229,41.2797217,1
I008,D003,NR004,S025,I008_S025,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15651667,41.4252,1
I008,D003,NR004,S026,I008_S026,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.677299,41.444157,0
I008,D003,NR004,S027,I008_S027,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.683129,41.460835,2
I008,D003,NR004,S028,I008_S028,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.54780149,41.13340736,2
