ItemID,N_RivID,DataID,OldID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Note,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB,RawSeqID,ReAssigned,Tsite,Tspe,Nsite,Nspe,SR_Ave,SR_SD
I158,NR095,D056,CD25,Africa,Madagascar,TRUE,TRUE,TRUE,V2,2021,11,MiFish,12S,170,0.56,3,1.68,Global_db,RS012,yes,11,22,11,14,2.818181818,4.045199175
I159,NR095,D056,CD25,Africa,Madagascar,TRUE,TRUE,TRUE,V2,2021,11,Riaz02,12S,230,0.56,3,1.68,Global_db,RS029,yes-nofish,11,22,11,13,3.909090909,3.448319749
I160,NR095,D056,CD25,Africa,Madagascar,TRUE,TRUE,TRUE,V2,2021,11,Tele02,12S,170,0.56,3,1.68,Global_db,RS023,yes,11,22,11,14,4.272727273,3.770700441
I161,NR104,D057,CD30,North_America,Costa Rica,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,5,73,27,3.16227766
I162,NR110,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,5,58,29,5.099019514
I163,NR108,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,5,45,19.8,4.65832588
I164,NR109,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,4,68,29.75,2.5
I165,NR111,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,1,25,25,NA
I166,NR105,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,4,63,37.5,13.72345923
I167,NR106,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,4,58,32.33333333,8.386497084
I168,NR107,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,4,57,26.25,0.957427108
I169,NR112,D057,CD30,North_America,Panama,TRUE,TRUE,TRUE,V3,2022,8,MiFish,12S,170,2,1,2,Global_db,RS051,yes,33,150,1,31,31,NA
I170,NR096,D058,CD37,Europe,Spain,TRUE,TRUE,TRUE,V3,2019,8,BCOI,COI,421,1,5,5,Global_db,RS052,yes,10,2,10,2,0.7,0.674948558
I171,NR097,D058,CD37,Europe,Spain,TRUE,TRUE,TRUE,V3,2019,8,BCOI,COI,421,1,5,5,Global_db,RS052,yes,10,2,3,1,0.333333333,0.577350269
I172,NR100,D059,CD39,South_America,Columbia,TRUE,TRUE,TRUE,V3,2018,10,Chon01,12S,83,30,2,60,Custom_db,RS053,yes-nolocalfish,3,34,3,0,0,0
I173,NR100,D059,CD39,South_America,Columbia,TRUE,TRUE,TRUE,V3,2018,10,Teleo,12S,108,30,2,60,Custom_db,RS054,yes,3,34,3,22,15.66666667,4.725815626
I174,NR100,D059,CD39,South_America,Columbia,TRUE,TRUE,TRUE,V3,2018,10,Riaz03,12S,99,30,2,60,Custom_db,RS055,yes,3,34,3,28,21.66666667,2.886751346
I175,NR098,D060,CD40,Europe,Switzerland,TRUE,TRUE,TRUE,V3,2020,6,Riaz03,12S,99,30,3,90,Global_db,RS056,yes,25,12,18,3,0.388888889,0.697802339
I176,NR099,D060,CD40,Europe,Switzerland,TRUE,TRUE,TRUE,V3,2020,6,Riaz03,12S,99,30,3,90,Global_db,RS056,yes,25,12,12,11,1.416666667,2.391588796
I177,NR101,D061,CD41,Asia,China,TRUE,TRUE,FALSE,V3,2019,11,Tele02,12S,170,0.3,3,0.9,Global_db,,,33,36,33,36,16.15151515,4.796621286
I178,NR102,D062,CD42,Asia,China,TRUE,TRUE,TRUE,V3,2022,10,Tele02,12S,170,3,3,9,Global_db,RS057,yes,44,109,44,109,30.75,17.89650479
I179,NR103,D062,CD42,Asia,China,TRUE,TRUE,TRUE,V3,2022,10,Tele02,12S,170,3,3,9,Global_db,RS057,yes,44,109,36,70,27.63636364,11.26615002
