ID,DataID,primer,barcode,continent,type,tot.n.seqs,tot.mean.seqs,tot.median.seqs,Species,overlapped,prop.n.seqs,prop.mean.seqs,prop.median.seqs,type2
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Phoxinus phoxinus,TRUE,0.0702185404403263,0.0779745056872231,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Leuciscus leuciscus,TRUE,0.04468010012211,0.0550794659592392,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Lepomis gibbosus,TRUE,0.011968405551341,0.00570882173374802,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Cyprinus carpio,TRUE,0.0104917261327632,0.0115982462159047,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Alburnus alburnus,TRUE,0.00769414886064447,0.0122713788702333,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Sander lucioperca,TRUE,0.00771443291859196,0.010204169242393,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Squalius cephalus,TRUE,0.033619609004499,0.047982831524879,0.00150825571549534,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Barbus barbus,TRUE,0.0130507628834194,0.0115791323079356,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Salvelinus fontinalis,TRUE,0.00615823999286001,0.0134381203143085,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Gasterosteus aculeatus,TRUE,0.00993107477109441,0.0144767619935824,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Lota lota,TRUE,0.00567304532675589,0.00956235170274954,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Vimba vimba,FALSE,0.005623552225364,0.0014819434039746,0,Unique to reanalyzed
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Thymallus thymallus,TRUE,0.00543450480529333,0.0123969280823683,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Gymnocephalus cernua,TRUE,0.00544505251542603,0.0036635807180887,0,Overlapped
